job_id,task,target_column,horizon_windows,family,candidate_id,preprocessing_family,primary_metric,fold_count,successful_folds,status,mean_macro_f1,std_macro_f1,mean_macro_precision,std_macro_precision,mean_macro_recall,std_macro_recall,mean_accuracy,std_accuracy,fit_seconds,prediction_seconds,failure,parameters_json,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
accident_h2,accident,target_accident_h2,2,svm,svm_regularized,svm,roc_auc,5,5,success,,,,,,,,,0.190606,0.103836,,"{""C"":0.1,""max_iter"":5000,""tol"":0.001}",0.5298677956,0.0277102461,0.0125051425,0.0043887661
accident_h2,accident,target_accident_h2,2,svm,svm_default,svm,roc_auc,5,5,success,,,,,,,,,0.224971,0.106079,,"{""C"":1.0,""max_iter"":5000,""tol"":0.001}",0.5221340774,0.0230456547,0.0118499524,0.0037925068
accident_h3,accident,target_accident_h3,3,decision_tree,tree_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.186402,0.197134,,"{""max_depth"":10,""min_samples_leaf"":12}",0.4976110967,0.0082646652,0.0097444029,0.0013947004
accident_h3,accident,target_accident_h3,3,decision_tree,tree_deep,tree,roc_auc,5,5,success,,,,,,,,,0.189688,0.199375,,"{""max_depth"":16,""min_samples_leaf"":6}",0.5012573026,0.0089144447,0.0097684034,0.0012953336
accident_h3,accident,target_accident_h3,3,random_forest,forest_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.379828,0.393161,,"{""max_depth"":12,""max_features"":0.7,""min_samples_leaf"":6,""n_estimators"":24}",0.5067540502,0.0173609829,0.0120704064,0.00303063
accident_h3,accident,target_accident_h3,3,random_forest,forest_deep,tree,roc_auc,5,5,success,,,,,,,,,0.575453,0.422411,,"{""max_depth"":18,""max_features"":0.9,""min_samples_leaf"":3,""n_estimators"":48}",0.5090865846,0.0200415411,0.0110075739,0.0019476051
accident_h3,accident,target_accident_h3,3,xgboost,xgb_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.244678,0.208951,,"{""colsample_bytree"":1.0,""learning_rate"":0.1,""max_depth"":4,""min_child_weight"":5,""n_estimators"":40,""subsample"":1.0}",0.5057281639,0.0231808864,0.0116631312,0.0024983634
accident_h3,accident,target_accident_h3,3,xgboost,xgb_deep,tree,roc_auc,5,5,success,,,,,,,,,0.311201,0.205708,,"{""colsample_bytree"":1.0,""learning_rate"":0.06,""max_depth"":6,""min_child_weight"":3,""n_estimators"":64,""subsample"":1.0}",0.4934107059,0.0238674861,0.0111554342,0.0020454141
accident_h3,accident,target_accident_h3,3,svm,svm_regularized,svm,roc_auc,5,5,success,,,,,,,,,0.198293,0.105701,,"{""C"":0.1,""max_iter"":5000,""tol"":0.001}",0.4795314777,0.0299593363,0.0094210572,0.0019096425
accident_h3,accident,target_accident_h3,3,svm,svm_default,svm,roc_auc,5,5,success,,,,,,,,,0.222718,0.103437,,"{""C"":1.0,""max_iter"":5000,""tol"":0.001}",0.4833379964,0.0304646615,0.0096055173,0.0019815026
accident_h4,accident,target_accident_h4,4,decision_tree,tree_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.176609,0.193258,,"{""max_depth"":10,""min_samples_leaf"":12}",0.5086985058,0.0272578562,0.0105179425,0.0016678045
accident_h4,accident,target_accident_h4,4,decision_tree,tree_deep,tree,roc_auc,5,5,success,,,,,,,,,0.179444,0.193486,,"{""max_depth"":16,""min_samples_leaf"":6}",0.5121989496,0.021153622,0.0110228206,0.0020758499
accident_h4,accident,target_accident_h4,4,random_forest,forest_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.390088,0.37929,,"{""max_depth"":12,""max_features"":0.7,""min_samples_leaf"":6,""n_estimators"":24}",0.5064619378,0.0405360418,0.0116017666,0.0031875993
accident_h4,accident,target_accident_h4,4,random_forest,forest_deep,tree,roc_auc,5,5,success,,,,,,,,,0.564637,0.383558,,"{""max_depth"":18,""max_features"":0.9,""min_samples_leaf"":3,""n_estimators"":48}",0.5103488637,0.0393865793,0.0112880596,0.0018841929
accident_h4,accident,target_accident_h4,4,xgboost,xgb_balanced,tree,roc_auc,5,5,success,,,,,,,,,0.201895,0.205139,,"{""colsample_bytree"":1.0,""learning_rate"":0.1,""max_depth"":4,""min_child_weight"":5,""n_estimators"":40,""subsample"":1.0}",0.527671314,0.0566808812,0.0136255322,0.0049016816
accident_h4,accident,target_accident_h4,4,xgboost,xgb_deep,tree,roc_auc,5,5,success,,,,,,,,,0.29468,0.214358,,"{""colsample_bytree"":1.0,""learning_rate"":0.06,""max_depth"":6,""min_child_weight"":3,""n_estimators"":64,""subsample"":1.0}",0.5217448156,0.0463493435,0.0145729075,0.0054875025
accident_h4,accident,target_accident_h4,4,svm,svm_regularized,svm,roc_auc,5,5,success,,,,,,,,,0.182132,0.097739,,"{""C"":0.1,""max_iter"":5000,""tol"":0.001}",0.5092951094,0.0517277048,0.0117208359,0.0034984201
accident_h4,accident,target_accident_h4,4,svm,svm_default,svm,roc_auc,5,5,success,,,,,,,,,0.195393,0.098895,,"{""C"":1.0,""max_iter"":5000,""tol"":0.001}",0.5075825472,0.0522569552,0.0114482958,0.0031798916
