job_id,split,threshold,precision,recall,f1,predicted_positive_rows,selected
accident_h2,validation_assessment,0.0063612404,0.0093528184,0.9105691057,0.0185154571,11975,False
accident_h2,validation_assessment,0.006397399,0.0093214646,0.9024390244,0.0184523315,11908,False
accident_h2,validation_assessment,0.0064361532,0.0093734167,0.9024390244,0.0185541162,11842,False
accident_h2,validation_assessment,0.0064681598,0.0093410326,0.8943089431,0.0184889487,11776,False
accident_h2,validation_assessment,0.0065035443,0.0093936806,0.8943089431,0.018592073,11710,False
accident_h2,validation_assessment,0.0065345024,0.0094469255,0.8943089431,0.0186963542,11644,False
accident_h2,validation_assessment,0.0065694208,0.0095007773,0.8943089431,0.0188018118,11578,False
accident_h2,validation_assessment,0.0065938114,0.0095560768,0.8943089431,0.0189100911,11511,False
accident_h2,validation_assessment,0.0066241795,0.0096111839,0.8943089431,0.0190179806,11445,False
accident_h2,validation_assessment,0.0066524826,0.0094911679,0.8780487805,0.0187793427,11379,False
accident_h2,validation_assessment,0.0066797001,0.0094581455,0.8699186992,0.0187128367,11313,False
accident_h2,validation_assessment,0.0067120947,0.0094247355,0.8617886179,0.0186455585,11247,False
accident_h2,validation_assessment,0.0067378209,0.0094803685,0.8617886179,0.0187544232,11181,False
accident_h2,validation_assessment,0.0067645506,0.0094466937,0.8536585366,0.018686599,11115,False
accident_h2,validation_assessment,0.0067914451,0.0095039826,0.8536585366,0.0187986751,11048,False
accident_h2,validation_assessment,0.0068161072,0.0094700419,0.8455284553,0.0187303017,10982,False
accident_h2,validation_assessment,0.0068444285,0.0095272994,0.8455284553,0.0188422864,10916,False
accident_h2,validation_assessment,0.0068686526,0.0095852535,0.8455284553,0.0189556183,10850,False
accident_h2,validation_assessment,0.0068935462,0.0096439169,0.8455284553,0.0190703218,10784,False
accident_h2,validation_assessment,0.0069178661,0.0097033029,0.8455284553,0.0191864219,10718,False
accident_h2,validation_assessment,0.0069458795,0.0097643414,0.8455284553,0.019305736,10651,False
accident_h2,validation_assessment,0.0069653553,0.0097307511,0.837398374,0.0192379529,10585,False
accident_h2,validation_assessment,0.0069933212,0.0097918053,0.837398374,0.0193572637,10519,False
accident_h2,validation_assessment,0.0070142149,0.0097579642,0.8292682927,0.0192889561,10453,False
accident_h2,validation_assessment,0.0070372916,0.0098199673,0.8292682927,0.0194100856,10387,False
accident_h2,validation_assessment,0.0070579677,0.0097858735,0.8211382114,0.0193412486,10321,False
accident_h2,validation_assessment,0.0070791025,0.0098488542,0.8211382114,0.0194642513,10255,False
accident_h2,validation_assessment,0.0071022906,0.0099136239,0.8211382114,0.0195907283,10188,False
accident_h2,validation_assessment,0.0071277785,0.0099782652,0.8211382114,0.0197169351,10122,False
accident_h2,validation_assessment,0.0071475913,0.010043755,0.8211382114,0.0198447785,10056,False
accident_h2,validation_assessment,0.0071694558,0.0101101101,0.8211382114,0.0199742905,9990,False
accident_h2,validation_assessment,0.00718983,0.0101773478,0.8211382114,0.0201055041,9924,False
accident_h2,validation_assessment,0.007206649,0.0101440454,0.8130081301,0.0200380723,9858,False
accident_h2,validation_assessment,0.0072270409,0.0101113267,0.8048780488,0.0199717571,9791,False
accident_h2,validation_assessment,0.0072490995,0.0100771208,0.7967479675,0.0199025183,9725,False
accident_h2,validation_assessment,0.0072686661,0.0101459778,0.7967479675,0.0200368023,9659,False
accident_h2,validation_assessment,0.0072889713,0.0102157823,0.7967479675,0.0201729107,9593,False
accident_h2,validation_assessment,0.0073083021,0.010286554,0.7967479675,0.0203108808,9527,False
accident_h2,validation_assessment,0.0073330965,0.010252616,0.7886178862,0.0202420701,9461,False
accident_h2,validation_assessment,0.0073582108,0.0102182012,0.7804878049,0.0201723051,9395,False
accident_h2,validation_assessment,0.0073809344,0.0102915952,0.7804878049,0.0203153105,9328,False
accident_h2,validation_assessment,0.0074016635,0.0101489959,0.7642276423,0.0200319659,9262,False
accident_h2,validation_assessment,0.0074190161,0.0102218356,0.7642276423,0.0201738384,9196,False
accident_h2,validation_assessment,0.0074426767,0.0101861993,0.756097561,0.0201015887,9130,False
accident_h2,validation_assessment,0.0074659665,0.0102603707,0.756097561,0.0202459998,9064,False
accident_h2,validation_assessment,0.0074881253,0.0103356301,0.756097561,0.0203925008,8998,False
accident_h2,validation_assessment,0.0075113532,0.0104131676,0.756097561,0.0205434062,8931,False
accident_h2,validation_assessment,0.0075364509,0.0103778906,0.7479674797,0.0204717401,8865,False
accident_h2,validation_assessment,0.0075579496,0.0104557336,0.7479674797,0.0206231787,8799,False
accident_h2,validation_assessment,0.0075855427,0.0103057369,0.7317073171,0.0203252033,8733,False
accident_h2,validation_assessment,0.0076036242,0.0102688358,0.7235772358,0.0202502844,8667,False
accident_h2,validation_assessment,0.0076256033,0.0102313684,0.7154471545,0.020174232,8601,False
accident_h2,validation_assessment,0.0076473673,0.0103116944,0.7154471545,0.0203303685,8534,False
accident_h2,validation_assessment,0.0076701333,0.0103920642,0.7154471545,0.0204865557,8468,False
accident_h2,validation_assessment,0.0076918328,0.0104736967,0.7154471545,0.0206451613,8402,False
accident_h2,validation_assessment,0.0077135469,0.0104366603,0.7073170732,0.0205698073,8336,False
accident_h2,validation_assessment,0.007734342,0.0103990326,0.6991869919,0.0204932682,8270,False
accident_h2,validation_assessment,0.0077517138,0.0104826914,0.6991869919,0.0206556983,8204,False
accident_h2,validation_assessment,0.0077740907,0.0105677071,0.6991869919,0.0208207239,8138,False
accident_h2,validation_assessment,0.0077937406,0.010655433,0.6991869919,0.020990969,8071,False
accident_h2,validation_assessment,0.0078116128,0.0107432854,0.6991869919,0.0211614173,8005,False
accident_h2,validation_assessment,0.0078308988,0.0105806777,0.6829268293,0.0208385016,7939,False
accident_h2,validation_assessment,0.0078504282,0.0106693763,0.6829268293,0.0210105053,7873,False
accident_h2,validation_assessment,0.0078721602,0.0107595747,0.6829268293,0.021185372,7807,False
accident_h2,validation_assessment,0.0078976018,0.0108513112,0.6829268293,0.021363174,7741,False
accident_h2,validation_assessment,0.0079192711,0.0109460516,0.6829268293,0.0215467487,7674,False
accident_h2,validation_assessment,0.0079407831,0.0110410095,0.6829268293,0.0217306946,7608,False
accident_h2,validation_assessment,0.0079596852,0.0110050385,0.674796748,0.0216568819,7542,False
accident_h2,validation_assessment,0.0079797441,0.0111021937,0.674796748,0.0218449796,7476,False
accident_h2,validation_assessment,0.0080015765,0.0109311741,0.6585365854,0.0215053763,7410,False
accident_h2,validation_assessment,0.0080225034,0.0108932462,0.6504065041,0.0214276148,7344,False
accident_h2,validation_assessment,0.0080474593,0.0108546304,0.6422764228,0.0213484664,7278,False
accident_h2,validation_assessment,0.0080662935,0.0106781306,0.6260162602,0.0209980911,7211,False
accident_h2,validation_assessment,0.0080907118,0.010636809,0.6178861789,0.0209135938,7145,False
accident_h2,validation_assessment,0.0081111803,0.0105947168,0.6097560976,0.0208275479,7079,False
accident_h2,validation_assessment,0.0081357285,0.0106944246,0.6097560976,0.0210201794,7013,False
accident_h2,validation_assessment,0.0081564583,0.0107960271,0.6097560976,0.0212164074,6947,False
accident_h2,validation_assessment,0.0081811794,0.0108995785,0.6097560976,0.0214163335,6881,False
accident_h2,validation_assessment,0.0082011829,0.0110067508,0.6097560976,0.02162318,6814,False
accident_h2,validation_assessment,0.0082296275,0.0111144043,0.6097560976,0.0218308834,6748,False
accident_h2,validation_assessment,0.0082557378,0.0112241844,0.6097560976,0.0220426157,6682,False
accident_h2,validation_assessment,0.0082772309,0.011185006,0.6016260163,0.0219617154,6616,False
accident_h2,validation_assessment,0.0083052995,0.0111450382,0.593495935,0.0218792147,6550,False
accident_h2,validation_assessment,0.0083339772,0.0112584824,0.593495935,0.0220977751,6484,False
