job_id,target,target_column,horizon_windows,family,candidate_id,fold,status,failure,full_training_rows,sampled_training_rows,sampled_training_timestamps,validation_rows,training_origin_start,training_origin_end,maximum_training_target_timestamp,validation_origin_start,validation_origin_end,rows,rmse,mae,mape_percent,r_squared,mape_nonzero_rows,mape_zero_actual_rows,fit_seconds,prediction_seconds
volume_h2,volume,target_volume_h2,2,decision_tree,tree_balanced,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:30:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,91.2701762689,62.4854953633,14.5253637671,0.8915664179,8400,0,0.041246,0.020286
volume_h2,volume,target_volume_h2,2,decision_tree,tree_balanced,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:30:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,104.338157785,70.1511886429,15.7520975314,0.867911936,8400,0,0.041317,0.019246
volume_h2,volume,target_volume_h2,2,decision_tree,tree_balanced,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:30:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,113.988516948,76.0460893334,21.0596864401,0.7874323957,8400,0,0.04024,0.020081
volume_h2,volume,target_volume_h2,2,decision_tree,tree_balanced,5,success,,118350,2400,96,8350,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:30:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T15:30:00+05:30,8350,135.83989728,86.1694763721,19.6771666118,0.7864284944,8350,0,0.039552,0.019301
volume_h2,volume,target_volume_h2,2,decision_tree,tree_deep,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:30:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,124.137667067,82.1947057179,22.9887662876,0.8099150983,8400,0,0.044632,0.020127
volume_h2,volume,target_volume_h2,2,decision_tree,tree_deep,2,success,,93150,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-19T14:30:00+05:30,2025-03-19T15:30:00+05:30,2025-03-19T17:00:00+05:30,2025-03-26T16:30:00+05:30,8400,99.0526064866,67.9148674552,15.8894073938,0.8722861955,8400,0,0.045369,0.019498
volume_h2,volume,target_volume_h2,2,decision_tree,tree_deep,3,success,,101550,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-26T14:30:00+05:30,2025-03-26T15:30:00+05:30,2025-03-26T17:00:00+05:30,2025-04-02T16:30:00+05:30,8400,109.824087285,74.1367545738,16.4112455795,0.8536568324,8400,0,0.04449,0.01969
volume_h2,volume,target_volume_h2,2,decision_tree,tree_deep,4,success,,109950,2400,96,8400,2025-01-01T00:00:00+05:30,2025-04-02T14:30:00+05:30,2025-04-02T15:30:00+05:30,2025-04-02T17:00:00+05:30,2025-04-09T16:30:00+05:30,8400,118.32352913,79.2157386578,21.9710367227,0.7709569594,8400,0,0.044573,0.019568
volume_h2,volume,target_volume_h2,2,decision_tree,tree_deep,5,success,,118350,2400,96,8350,2025-01-01T00:00:00+05:30,2025-04-09T14:30:00+05:30,2025-04-09T15:30:00+05:30,2025-04-09T17:00:00+05:30,2025-04-16T15:30:00+05:30,8350,145.09703788,91.7157002273,20.8572540951,0.7563279521,8350,0,0.04366,0.021066
volume_h2,volume,target_volume_h2,2,random_forest,forest_balanced,1,success,,84750,2400,96,8400,2025-01-01T00:00:00+05:30,2025-03-12T14:30:00+05:30,2025-03-12T15:30:00+05:30,2025-03-12T17:00:00+05:30,2025-03-19T16:30:00+05:30,8400,86.8946532342,59.3716263207,18.091210712,0.9068620719,8400,0,0.052266,0.03652
