model_version,horizon_windows,horizon_minutes,split,dimension,slice_value,actual_label,predicted_label,rows
classical_classification_v1,1,30,test,road_id,NL-018,Heavy,Severe,26
classical_classification_v1,1,30,test,road_id,NL-018,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-018,Severe,Moderate,1
classical_classification_v1,1,30,test,road_id,NL-018,Severe,Heavy,17
classical_classification_v1,1,30,test,road_id,NL-018,Severe,Severe,39
classical_classification_v1,1,30,test,road_id,NL-019,Free-flow,Free-flow,549
classical_classification_v1,1,30,test,road_id,NL-019,Free-flow,Moderate,42
classical_classification_v1,1,30,test,road_id,NL-019,Free-flow,Heavy,2
classical_classification_v1,1,30,test,road_id,NL-019,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-019,Moderate,Free-flow,23
classical_classification_v1,1,30,test,road_id,NL-019,Moderate,Moderate,264
classical_classification_v1,1,30,test,road_id,NL-019,Moderate,Heavy,15
classical_classification_v1,1,30,test,road_id,NL-019,Moderate,Severe,3
classical_classification_v1,1,30,test,road_id,NL-019,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-019,Heavy,Moderate,21
classical_classification_v1,1,30,test,road_id,NL-019,Heavy,Heavy,65
classical_classification_v1,1,30,test,road_id,NL-019,Heavy,Severe,29
classical_classification_v1,1,30,test,road_id,NL-019,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-019,Severe,Moderate,1
classical_classification_v1,1,30,test,road_id,NL-019,Severe,Heavy,23
classical_classification_v1,1,30,test,road_id,NL-019,Severe,Severe,49
classical_classification_v1,1,30,test,road_id,NL-020,Free-flow,Free-flow,677
classical_classification_v1,1,30,test,road_id,NL-020,Free-flow,Moderate,40
classical_classification_v1,1,30,test,road_id,NL-020,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-020,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-020,Moderate,Free-flow,26
classical_classification_v1,1,30,test,road_id,NL-020,Moderate,Moderate,161
classical_classification_v1,1,30,test,road_id,NL-020,Moderate,Heavy,20
classical_classification_v1,1,30,test,road_id,NL-020,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-020,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-020,Heavy,Moderate,21
classical_classification_v1,1,30,test,road_id,NL-020,Heavy,Heavy,58
classical_classification_v1,1,30,test,road_id,NL-020,Heavy,Severe,21
classical_classification_v1,1,30,test,road_id,NL-020,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-020,Severe,Moderate,3
classical_classification_v1,1,30,test,road_id,NL-020,Severe,Heavy,16
classical_classification_v1,1,30,test,road_id,NL-020,Severe,Severe,42
classical_classification_v1,1,30,test,road_id,NL-021,Free-flow,Free-flow,623
classical_classification_v1,1,30,test,road_id,NL-021,Free-flow,Moderate,44
classical_classification_v1,1,30,test,road_id,NL-021,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-021,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-021,Moderate,Free-flow,31
classical_classification_v1,1,30,test,road_id,NL-021,Moderate,Moderate,201
classical_classification_v1,1,30,test,road_id,NL-021,Moderate,Heavy,23
classical_classification_v1,1,30,test,road_id,NL-021,Moderate,Severe,5
classical_classification_v1,1,30,test,road_id,NL-021,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-021,Heavy,Moderate,12
classical_classification_v1,1,30,test,road_id,NL-021,Heavy,Heavy,66
classical_classification_v1,1,30,test,road_id,NL-021,Heavy,Severe,26
classical_classification_v1,1,30,test,road_id,NL-021,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-021,Severe,Moderate,2
classical_classification_v1,1,30,test,road_id,NL-021,Severe,Heavy,11
classical_classification_v1,1,30,test,road_id,NL-021,Severe,Severe,42
classical_classification_v1,1,30,test,road_id,NL-022,Free-flow,Free-flow,698
classical_classification_v1,1,30,test,road_id,NL-022,Free-flow,Moderate,30
classical_classification_v1,1,30,test,road_id,NL-022,Free-flow,Heavy,0
classical_classification_v1,1,30,test,road_id,NL-022,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-022,Moderate,Free-flow,11
classical_classification_v1,1,30,test,road_id,NL-022,Moderate,Moderate,171
classical_classification_v1,1,30,test,road_id,NL-022,Moderate,Heavy,23
classical_classification_v1,1,30,test,road_id,NL-022,Moderate,Severe,2
classical_classification_v1,1,30,test,road_id,NL-022,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-022,Heavy,Moderate,13
classical_classification_v1,1,30,test,road_id,NL-022,Heavy,Heavy,52
classical_classification_v1,1,30,test,road_id,NL-022,Heavy,Severe,27
classical_classification_v1,1,30,test,road_id,NL-022,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-022,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-022,Severe,Heavy,12
classical_classification_v1,1,30,test,road_id,NL-022,Severe,Severe,47
classical_classification_v1,1,30,test,road_id,NL-023,Free-flow,Free-flow,627
classical_classification_v1,1,30,test,road_id,NL-023,Free-flow,Moderate,41
classical_classification_v1,1,30,test,road_id,NL-023,Free-flow,Heavy,1
classical_classification_v1,1,30,test,road_id,NL-023,Free-flow,Severe,0
classical_classification_v1,1,30,test,road_id,NL-023,Moderate,Free-flow,29
classical_classification_v1,1,30,test,road_id,NL-023,Moderate,Moderate,197
classical_classification_v1,1,30,test,road_id,NL-023,Moderate,Heavy,24
classical_classification_v1,1,30,test,road_id,NL-023,Moderate,Severe,1
classical_classification_v1,1,30,test,road_id,NL-023,Heavy,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-023,Heavy,Moderate,14
classical_classification_v1,1,30,test,road_id,NL-023,Heavy,Heavy,64
classical_classification_v1,1,30,test,road_id,NL-023,Heavy,Severe,33
classical_classification_v1,1,30,test,road_id,NL-023,Severe,Free-flow,0
classical_classification_v1,1,30,test,road_id,NL-023,Severe,Moderate,0
classical_classification_v1,1,30,test,road_id,NL-023,Severe,Heavy,12
classical_classification_v1,1,30,test,road_id,NL-023,Severe,Severe,43
classical_classification_v1,1,30,test,road_id,NL-024,Free-flow,Free-flow,657
