task_type,model_version,target,horizon_windows,horizon_minutes,split,dimension,slice_value,rows,positive_rows,sufficient_support,rmse,mae,mape_percent,r_squared,bias,residual_standard_deviation,residual_q10,residual_median,residual_q90,interval_coverage,mean_interval_width,task,accuracy,precision,recall,f1,roc_auc,pr_auc,prevalence,mean_confidence,mean_normalized_entropy,macro_precision,macro_recall,macro_f1
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-019,1086,,True,4.0397436378,2.9759168015,10.2237741874,0.8772673922,0.184216878436,4.03554120297,-4.77699112053,0.226029793818,4.57765164976,0.877532228361,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-020,1086,,True,3.4304959227,2.627289041,7.7670187741,0.9043684819,-0.394297495242,3.40776051988,-4.43089022511,-0.426398896694,3.58428140191,0.917127071823,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-021,1086,,True,3.6792401429,2.7418875237,8.7983827045,0.8964917769,-0.197794096485,3.67391964045,-4.59121011531,-0.136064548146,3.80679632169,0.911602209945,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-022,1086,,True,3.5374528315,2.7124689333,7.6033759972,0.8941938895,-0.361097989309,3.51897439282,-4.84950635587,-0.170255591898,3.84886017006,0.912523020258,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-023,1086,,True,3.5977341104,2.7163729944,8.2089257235,0.8992622388,-0.257908281796,3.58847795693,-4.56651142276,-0.373358329939,4.13331427654,0.917127071823,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-024,1086,,True,3.6538595062,2.7147765403,8.1833997955,0.8891868049,-0.200266047164,3.6483671418,-4.29261258516,-0.0428431476116,3.88816905776,0.909760589319,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,road_id,NL-025,1086,,True,3.522125394,2.7135898849,7.8790880522,0.896581221,-0.437843817409,3.4948047274,-4.85198285953,-0.398087653069,3.61787436378,0.912523020258,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,origin_hour,0,1150,,True,2.6290235766,2.1031011239,4.0218431955,0.0689401985,0.0305053045459,2.62884658975,-3.35482173441,-0.00595422130574,3.48127572116,0.979130434783,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,origin_hour,1,1150,,True,2.6842941006,2.173866339,4.1558084312,0.0512629782,0.00818899685872,2.68428160945,-3.50376647096,0.00655225622777,3.33009363645,0.975652173913,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,origin_hour,2,1150,,True,2.6151029366,2.0836484226,3.9790692881,0.0795347776,-0.0121264017297,2.61507482097,-3.35461602034,0.0238079425824,3.3670393248,0.973913043478,11.7229842228,,,,,,,,,,,,,
regression,classical_regression_v1,speed,1,30,validation,origin_hour,3,1150,,True,2.7955322445,2.2598941914,4.3374598803,0.0637483792,0.00881077509768,2.79551835988,-3.62448363382,0.12419135475,3.56451630386,0.969565217391,11.7229842228,,,,,,,,,,,,,
