horizon_windows,horizon_minutes,split,dimension,slice_value,rows,sufficient_support,deep_rmse,classical_rmse,rmse_delta_deep_minus_classical,deep_mae,classical_mae,mean_absolute_error_delta,deep_row_win_rate
1,30,validation,origin_hour,12,1100,True,46.1044458897,48.0817449405,-1.9772990508,34.3618219398,36.4904207251,-2.12859878528,0.551818181818
1,30,validation,origin_hour,13,1100,True,46.7489705176,47.6088540123,-0.8598834947,35.6688206075,36.5879364287,-0.919115821179,0.513636363636
1,30,validation,origin_hour,14,1100,True,53.3584602852,55.7443589907,-2.3858987055,40.196514861,41.9410883316,-1.74457347067,0.53
1,30,validation,origin_hour,15,1100,True,68.8297897562,69.2863721894,-0.4565824332,52.193769762,52.0198829297,0.173886832322,0.5
1,30,validation,origin_hour,16,1100,True,88.830540029,91.3092621647,-2.4787221357,68.2465708233,71.1158958032,-2.86932497982,0.543636363636
1,30,validation,origin_hour,17,1100,True,90.8118059212,94.9017512579,-4.0899453367,71.9056501386,74.86392042,-2.95827028138,0.530909090909
1,30,validation,origin_hour,18,1100,True,84.2032965901,90.8901632193,-6.6868666292,66.6063651473,71.6235743769,-5.01720922959,0.542727272727
1,30,validation,origin_hour,19,1100,True,60.0407888036,68.8193058343,-8.7785170307,45.4277801657,51.8966222123,-6.46884204652,0.565454545455
1,30,validation,origin_hour,20,1100,True,42.084178828,44.3616537469,-2.2774749189,32.4685595333,33.6909472876,-1.2223877543,0.514545454545
1,30,validation,origin_hour,21,1100,True,29.1001606397,29.8619280625,-0.7617674228,21.838804443,21.9265531309,-0.0877486879308,0.496363636364
1,30,validation,origin_hour,22,1100,True,22.8969760726,21.6364264998,1.2605495728,18.2999071459,16.5354344492,1.76447269669,0.425454545455
1,30,validation,origin_hour,23,1100,True,30.2439532724,26.347849227,3.8961040454,23.0772782263,19.2105151142,3.86676311216,0.392727272727
1,30,validation,weekday,Friday,3925,True,58.0275492456,59.324314906,-1.2967656604,40.5272602468,40.674826007,-0.147565760157,0.491719745223
1,30,validation,weekday,Monday,3600,True,64.6341947699,66.6015246064,-1.9673298365,44.0622017257,45.2884159643,-1.22621423852,0.515
1,30,validation,weekday,Saturday,3600,True,50.3508604816,53.6917630275,-3.3409025459,33.575174941,35.7189486481,-2.14377370711,0.521666666667
1,30,validation,weekday,Sunday,3600,True,44.1336408261,46.0807670048,-1.9471261787,31.3626672347,32.0697253221,-0.707058087373,0.493055555556
1,30,validation,weekday,Thursday,4575,True,62.4582853201,64.6111050625,-2.1528197424,43.786231726,45.0697086967,-1.28347697074,0.509071038251
1,30,validation,weekday,Tuesday,3600,True,62.1736523781,64.8406166192,-2.6669642411,43.2575918944,44.7275731623,-1.4699812679,0.501388888889
1,30,validation,weekday,Wednesday,3600,True,60.799379365,69.6093337742,-8.8099544092,40.42657436,44.7857701931,-4.35919583311,0.512222222222
1,30,validation,weekday_type,weekday,19300,True,61.6384395122,64.9671964684,-3.3287569562,42.4496596551,44.0999452288,-1.65028557368,0.505803108808
1,30,validation,weekday_type,weekend,7200,True,47.3444157415,50.0312027876,-2.6867870461,32.4689210879,33.8943369851,-1.42541589724,0.507361111111
1,30,validation,peak_status,evening_peak,3300,True,79.4604211153,85.6416195888,-6.1811984735,61.3132651506,66.1280390031,-4.8147738525,0.546363636364
1,30,validation,peak_status,morning_peak,3300,True,91.7777487919,98.4185615865,-6.6408127946,68.8228711678,74.528922302,-5.70605113415,0.552424242424
1,30,validation,peak_status,off_peak,19900,True,45.2978506291,46.6540668254,-1.3562161963,31.3369554435,31.7085526081,-0.371597164635,0.491909547739
1,30,validation,weather_condition,Clear,19716,True,56.6582761803,59.4920939128,-2.8338177325,38.8384723255,40.2536652641,-1.41519293857,0.505224183404
1,30,validation,weather_condition,Cloudy,5008,True,61.6717880068,64.6739680284,-3.0021800216,42.2933912031,44.0536017931,-1.76021058995,0.509384984026
1,30,validation,weather_condition,Fog,176,True,82.4053482291,99.6321373044,-17.2267890753,44.4296948807,54.3382892233,-9.90859434253,0.579545454545
1,30,validation,weather_condition,Overcast,856,True,56.7653766792,61.3721876926,-4.6068110134,38.989733486,41.0995864935,-2.10985300748,0.509345794393
1,30,validation,weather_condition,Rain,744,True,65.3027321779,71.3103015379,-6.00756936,46.1225826583,48.6044114784,-2.48182882004,0.490591397849
1,30,validation,actual_congestion,Free-flow,16054,True,35.9529162991,38.1528637569,-2.1999474578,25.6564399288,25.9547875748,-0.298347646019,0.483866949047
